Identifier	Character	Dialogue	Filename	Line Number
dia_cheio_trabalho_015877cd	chefe1	Mocinha	game/script.rpy	281
dia_cheio_trabalho_3aa09997	extend	, preciso que você cuide desses relatórios de balanço...	game/script.rpy	283
dia_cheio_trabalho_f67b51a0	personagem	("mocinha", Odeio que me chamem assim)	game/script.rpy	285
dia_cheio_trabalho_7539c3ad	chefe1	Preciso desses relatórios de balanço para amanhã!	game/script.rpy	292
dia_cheio_trabalho_5c93f3b2	personagem	Relatórios de balanço?	game/script.rpy	293
dia_cheio_trabalho_7539c3ad_1	chefe1	Preciso desses relatórios de balanço para amanhã!	game/script.rpy	299
dia_cheio_trabalho_5c93f3b2_1	personagem	Relatórios de balanço?	game/script.rpy	300
dia_cheio_trabalho_5cf908b4	personagem	Mas isso é responsabilidade de outro departamento...	game/script.rpy	302
dia_cheio_trabalho_0018f173	chefe1	Eles estão um pouco sobrecarregados esse semana	game/script.rpy	304
dia_cheio_trabalho_cef14a72	chefe1	E alguém realmente precisa cuidar desses relatórios	game/script.rpy	306
dia_cheio_trabalho_35fbac68	chefe1	Consegue me entregar ainda hoje?	game/script.rpy	312
dia_cheio_trabalho_8c22e6e0	personagem	E quem me ajuda com a minhas demandas?	game/script.rpy	316
dia_cheio_trabalho_e1a169ba	personagem	Você não pediria se não fossem muito importantes, certo?	game/script.rpy	323
dia_cheio_trabalho_c4ebe2e0	chefe1	São bem mais do que isso mocinha	game/script.rpy	324
relatorios_a8c1ae1f		Você acaba ficando bem além do horario de expediente para conseguir entregar todas as demanas	game/script.rpy	340
relatorios_229d6d16		Bem além do que pretendia	game/script.rpy	342
briga_com_marido_seria_4e1af0e0	marido	Assim fica dificil	game/script.rpy	355
briga_com_marido_seria_c9907a5b	marido	Outro dia do mesmo jeito?	game/script.rpy	357
briga_com_marido_seria_c03c4116	marido	Parece que você não tem consideração comigo	game/script.rpy	363
briga_com_marido_seria_4b60621e	marido	Você não vai falar nada?	game/script.rpy	369
